seed,length_mu
sd13_10xs13_roothairs.csv,210.3326111
sd13_10xs14_roothairs.csv,164.2521425
sd13_10xs15_roothairs.csv,152.8782654
sd13_10xs16_roothairs.csv,181.7705841
sd13_10xs21_roothairs.csv,227.0741882
sd13_10xs22_roothairs.csv,208.617215
sd13_10xs23_roothairs.csv,210.4998894
sd13_10xs24_roothairs.csv,193.5079651
sd13_10xs25_roothairs.csv,159.8632507
sd13_10xs3a10_roothairs.csv,191.9387458
sd13_10xs3a1_roothairs.csv,138.0669459
sd13_10xs3a2_roothairs.csv,164.8254089
sd13_10xs3a3_roothairs.csv,178.9839172
sd13_10xs3a4_roothairs.csv,151.0311584
sd13_10xs3a5_roothairs.csv,199.5915527
sd13_10xs3a6_roothairs.csv,131.4362725
sd13_10xs3a7_roothairs.csv,139.2460286
sd13_10xs3a8_roothairs.csv,171.3759235
sd13_10xs3a9_roothairs.csv,185.9819946
sd13_10xs4a1_roothairs.csv,122.8412369
sd13_10xs4a2_roothairs.csv,138.8195032
sd13_10xs4a3_roothairs.csv,168.4258937
sd13_10xs4a4_roothairs.csv,157.0988083
sd13_10xs4a5_roothairs.csv,191.6092529
sd13_10xs4a6_roothairs.csv,231.5387654
sd13_10xs4a7_roothairs.csv,177.3276274
sd13_10xs4a8_roothairs.csv,190.4303422
sd13_10xs5a1_roothairs.csv,194.5091676
sd13_10xs5a2_roothairs.csv,199.1564331
sd13_10xs5a3_roothairs.csv,213.4116246
sd13_10xs5a4_roothairs.csv,88.95149275
sd13_10xs5a5_roothairs.csv,184.7163853
sd13_10xs6a10_roothairs.csv,191.4687744
sd13_10xs6a11_roothairs.csv,160.8822199
sd13_10xs6a12_roothairs.csv,235.0140603
sd13_10xs6a13_roothairs.csv,177.8244573
sd13_10xs6a1_roothairs.csv,90.92301814
sd13_10xs6a2_roothairs.csv,130.3692139
sd13_10xs6a3_roothairs.csv,149.8823863
sd13_10xs6a4_roothairs.csv,206.174176
sd13_10xs6a5_roothairs.csv,200.4504334
sd13_10xs6a6_roothairs.csv,162.5061722
sd13_10xs6a7_roothairs.csv,190.1452036
sd13_10xs6a8_roothairs.csv,208.9498428
sd13_10xs7a1_roothairs.csv,141.4438782
sd13_10xs7a2_roothairs.csv,202.3531588
sd13_10xs7a3_roothairs.csv,148.2799072
sd13_10xs7a5_roothairs.csv,344.8338013
sd13_10xs7a6_roothairs.csv,113.2137907
sd13_10xs7a7_roothairs.csv,258.6753166
sd13_10xs8a1_roothairs.csv,233.3424867
sd13_10xs8a2_roothairs.csv,249.8935112
sd13_10xs8a3_roothairs.csv,164.9572618
sd15_10x10a1_roothairs.csv,161.521347
sd15_10x10a2_roothairs.csv,213.8361255
sd15_10x10a3_roothairs.csv,151.3589325
sd15_10x10a4_roothairs.csv,291.4623938
sd15_10x10a5_roothairs.csv,219.5203857
sd15_10x10a6_roothairs.csv,220.8184814
sd15_10x10a7_roothairs.csv,193.776001
sd15_10x11_roothairs.csv,250.18638
sd15_10x12_roothairs.csv,266.8942261
sd15_10x13_roothairs.csv,162.1098785
sd15_10x14_roothairs.csv,163.8100151
sd15_10x2b1_roothairs.csv,189.1670227
sd15_10x2b2_roothairs.csv,226.379925
sd15_10x3a1_roothairs.csv,232.1296597
sd15_10x3a2_roothairs.csv,251.4167458
sd15_10x3a3_roothairs.csv,194.6546141
sd15_10x3a4_roothairs.csv,231.4858551
sd15_10x3a5_roothairs.csv,247.901535
sd15_10x3a6_roothairs.csv,220.1687012
sd15_10x3a7_roothairs.csv,194.818924
sd15_10x3a8_roothairs.csv,137.2752968
sd15_10x4a1_roothairs.csv,223.8805542
sd15_10x5a1_roothairs.csv,193.1929321
sd15_10x5a2_roothairs.csv,197.2818298
sd15_10x5a3_roothairs.csv,181.1097101
sd15_10x6a1_roothairs.csv,166.247345
sd15_10x6a2_roothairs.csv,159.792572
sd15_10x6a3_roothairs.csv,224.6213053
sd15_10x6a4_roothairs.csv,218.4245546
sd15_10x6a5_roothairs.csv,179.6852596
sd15_10x7a10_roothairs.csv,221.83426
sd15_10x7a1_roothairs.csv,259.9529883
sd15_10x7a2_roothairs.csv,244.4437378
sd15_10x7a3_roothairs.csv,183.3801153
sd15_10x7a4_roothairs.csv,176.8238068
sd15_10x7a5_roothairs.csv,181.4816986
sd15_10x7a7_roothairs.csv,240.3378223
sd15_10x7a8_roothairs.csv,147.9291723
sd15_10x7a9_roothairs.csv,202.0988473
sd15_10x82_roothairs.csv,214.3465305
sd15_10x83_roothairs.csv,253.8116949
sd15_10x84_roothairs.csv,206.1804749
sd15_10x85_roothairs.csv,246.7954041
sd15_10x86_roothairs.csv,215.0743485
sd15_10x87_roothairs.csv,226.0905139
sd15_10x88_roothairs.csv,178.0065963
sd15_10x89_roothairs.csv,284.7750574
sd15_10x91_roothairs.csv,322.4505112
sd15_10x92_roothairs.csv,364.1700119
sd15_10x93_roothairs.csv,226.407302
sd15_10x94_roothairs.csv,280.6812327
sd15_10x95_roothairs.csv,226.3715469
sd15_10x96_roothairs.csv,107.4933777
sd15_10xs11_roothairs.csv,204.6465523
sd15_10xs12_roothairs.csv,248.4173072
sd15_10xs13_roothairs.csv,228.5643898
sd16_10x1a1_roothairs.csv,146.9748576
sd16_10x1a2_roothairs.csv,119.2048187
sd16_10x1a3_roothairs.csv,103.6198349
sd16_10x1a4_roothairs.csv,110.7292301
sd16_10x1a5_roothairs.csv,165.0885315
sd16_10x1a6_roothairs.csv,156.8486266
sd16_10x21_roothairs.csv,97.6209694
sd16_10x22_roothairs.csv,119.7759888
sd16_10x23_roothairs.csv,122.1746826
sd16_10x24_roothairs.csv,115.6733627
sd16_10x3a1_roothairs.csv,208.6072998
sd16_10x3a2_roothairs.csv,242.5831345
sd16_10x3a3_roothairs.csv,161.7495666
sd16_10x3a4_roothairs.csv,205.2711182
sd16_10x3a5_roothairs.csv,220.4888651
sd16_10x3a6_roothairs.csv,199.2615051
sd16_10x4a1_roothairs.csv,148.9747575
sd16_10x4a2_roothairs.csv,203.5872803
sd16_10x4a3_roothairs.csv,145.4760056
sd16_10x4a4_roothairs.csv,253.5794672
sd16_10x4a5_roothairs.csv,222.8482971
sd16_10x4a6_roothairs.csv,218.2319031
sd16_10x5a1_roothairs.csv,221.5626517
sd16_10x5a2_roothairs.csv,227.9469
sd16_10x5a3_roothairs.csv,169.1914932
sd16_10xs1a1_roothairs.csv,203.1191597
sd16_10xs1a2_roothairs.csv,232.0698539
sd16_10xs1a3_roothairs.csv,190.4646454
sd16_10xs1a4_roothairs.csv,247.7171803
sd16_10xs2a1_roothairs.csv,235.4938684
sd16_10xs2a2_roothairs.csv,236.2211609
sd16_10xs2a3_roothairs.csv,199.096283
sd16_10xs2a4_roothairs.csv,175.346724
sd16_10xs2a5_roothairs.csv,244.4872437
sd17_10x1a1_roothairs.csv,158.597141
sd17_10x1a2_roothairs.csv,207.9136596
sd17_10x1a3_roothairs.csv,102.3559986
sd17_10x1a4_roothairs.csv,206.4482717
sd17_10x1a5_roothairs.csv,175.2635956
sd17_10x2a1_roothairs.csv,187.2847443
sd17_10x2a2_roothairs.csv,66.42214203
sd17_10x2a3_roothairs.csv,217.1283112
sd17_10x2a4_roothairs.csv,225.5961497
sd17_10x2a5_roothairs.csv,277.0787964
sd17_10x2a6_roothairs.csv,260.0373535
sd17_10x2a7_roothairs.csv,207.3822021
sd17_10x2a8_roothairs.csv,240.4243967
sd17_10x3a1_roothairs.csv,262.7658008
sd17_10x3a2_roothairs.csv,218.7796326
sd17_10x3a3_roothairs.csv,182.8628779
sd17_10x3a4_roothairs.csv,237.8370514
sd17_10x3a5_roothairs.csv,193.6264343
sd17_10x3a6_roothairs.csv,233.0550352
sd17_10x3a7_roothairs.csv,210.7456824
sd17_10x3a8_roothairs.csv,127.4254433
sd17_10x4a1_roothairs.csv,244.409729
sd17_10x4a2_roothairs.csv,214.3396606
sd17_10x4a3_roothairs.csv,216.3681127
sd17_10x4a4_roothairs.csv,222.9567719
sd17_10x4a5_roothairs.csv,241.5738525
sd17_10x5a1_roothairs.csv,217.8840805
sd17_10x5a3_roothairs.csv,204.4349518
sd17_10x5a5_roothairs.csv,247.5434434
sd17_10x6a1_roothairs.csv,233.9261475
sd17_10x6a2_roothairs.csv,210.5072067
sd17_10x6a3_roothairs.csv,350.698822
sd17_10x6a4_roothairs.csv,240.5518188
sd17_10x6a5_roothairs.csv,260.5375977
sd17_10x6a6_roothairs.csv,191.7445597
sd17_10x6a7_roothairs.csv,202.7291911
sd17_10x7a1_roothairs.csv,194.7447357
sd17_10x7a2_roothairs.csv,201.308252
sd17_10x7a3_roothairs.csv,241.8713141
sd17_10x7a4_roothairs.csv,230.4105334
sd17_10x7a5_roothairs.csv,264.4312207
sd17_10x7a7_roothairs.csv,295.955004
sd17_10x7a8_roothairs.csv,233.2833206
sd17_10x8a1_roothairs.csv,232.0557312
sd17_10x8a2_roothairs.csv,177.6091919
sd17_10x8a3_roothairs.csv,169.1745298
sd17_10x8a4_roothairs.csv,280.7603378
sd17_10x8a5_roothairs.csv,285.6134836
sd17_10x8a6_roothairs.csv,279.7198486
sd17_10x8a7_roothairs.csv,228.6464268
sd17_10x8a8_roothairs.csv,166.4730988
sd17_10xs11_roothairs.csv,171.7661743
sd17_10xs12_roothairs.csv,158.0341797
sd17_10xs21_roothairs.csv,165.9883225
sd18_10x101_roothairs.csv,198.4212173
sd18_10x102_roothairs.csv,151.1700439
sd18_10x103_roothairs.csv,199.4221075
sd18_10x104_roothairs.csv,290.7753986
sd18_10x105_roothairs.csv,174.4526988
sd18_10x106_roothairs.csv,106.9747326
sd18_10x107_roothairs.csv,209.9427865
sd18_10x108_roothairs.csv,152.1157532
sd18_10x109_roothairs.csv,193.12677
sd18_10x11a1_roothairs.csv,263.9966168
sd18_10x11a3_roothairs.csv,200.8950854
sd18_10x11a4_roothairs.csv,272.2216318
sd18_10x1a1_roothairs.csv,250.3945386
sd18_10x1a2_roothairs.csv,290.779541
sd18_10x21_roothairs.csv,291.2881669
sd18_10x22_roothairs.csv,230.0832594
sd18_10x23_roothairs.csv,306.5971985
sd18_10x24_roothairs.csv,294.6614694
sd18_10x25_roothairs.csv,266.6980271
sd18_10x26_roothairs.csv,303.9680954
sd18_10x3a1_roothairs.csv,82.85042953
sd18_10x3a2_roothairs.csv,174.8261685
sd18_10x3a3_roothairs.csv,172.0773239
sd18_10x3a4_roothairs.csv,166.5752463
sd18_10x3a5_roothairs.csv,189.7663727
sd18_10x4a1_roothairs.csv,181.0502625
sd18_10x4a2_roothairs.csv,240.2528485
sd18_10x4a3_roothairs.csv,142.5030235
sd18_10x4a4_roothairs.csv,216.0218597
sd18_10x4a5_roothairs.csv,235.9860705
sd18_10x4a6_roothairs.csv,144.7247101
sd18_10x5a1_roothairs.csv,253.7129264
sd18_10x5a3_roothairs.csv,305.6385707
sd18_10x5a4_roothairs.csv,284.8615144
sd18_10x5a5_roothairs.csv,246.7299976
sd18_10x5a6_roothairs.csv,225.1595026
sd18_10x5a7_roothairs.csv,238.922151
sd18_10x6a1_roothairs.csv,187.5880569
sd18_10x6a2_roothairs.csv,200.2688177
sd18_10x6a3_roothairs.csv,271.6377684
sd18_10x6a4_roothairs.csv,241.3368978
sd18_10x6a5_roothairs.csv,231.6771545
sd18_10x6a6_roothairs.csv,210.5525513
sd18_10x6a7_roothairs.csv,256.6635109
sd18_10x7a1_roothairs.csv,226.8708406
sd18_10x7a3_roothairs.csv,263.0320829
sd18_10x7a4_roothairs.csv,250.1000061
sd18_10x81_roothairs.csv,189.8378455
sd18_10x82_roothairs.csv,272.6227707
sd18_10x9a1_roothairs.csv,266.1685486
sd18_10x9a2_roothairs.csv,214.4945831
sd18_10x9a3_roothairs.csv,217.2870941
sd18_10x9a4_roothairs.csv,127.4648379
sd18_10x9a5_roothairs.csv,232.6923218
sd18_10x9a6_roothairs.csv,174.2658844
sd18_10xs11_roothairs.csv,183.5596924
sd18_10xs12_roothairs.csv,168.733795
sd18_10xs13_roothairs.csv,204.007843
sd18_10xs14_roothairs.csv,201.30823
sd18_10xs2a1_roothairs.csv,229.9923859
sd18_10xs2a2_roothairs.csv,245.1387616
sd18_10xs2a3_roothairs.csv,160.8136398
sd18_10xs2a4_roothairs.csv,209.6835022
sd18_10xs31_roothairs.csv,216.7356766
sd18_10xs32_roothairs.csv,243.0149078
sd18_10xs33_roothairs.csv,166.3633575
sd18_10xs34_roothairs.csv,160.8880005
sd18_10xs41_roothairs.csv,207.8345314
sd18_10xs43_roothairs.csv,184.3467865
sd18_10xs5a1_roothairs.csv,215.7623596
sd18_10xs5a2_roothairs.csv,211.3565346
sd18_10xs5a3_roothairs.csv,182.4869797
