Control,length_mu
sd19_10x3a5_roothairs.csv,218.9843534
sd19_10x4a1_roothairs.csv,160.6027351
sd19_10x4a2_roothairs.csv,187.9573674
sd19_10x4a3_roothairs.csv,184.8739777
sd19_10x4a4_roothairs.csv,225.5290222
sd19_10x4a5_roothairs.csv,104.2477394
sd19_10x4a6_roothairs.csv,228.6857256
sd19_10x5a1_roothairs.csv,272.9332715
sd19_10x5a2_roothairs.csv,176.1583557
sd19_10x5a3_roothairs.csv,211.6989571
sd19_10x5a4_roothairs.csv,139.6787048
sd19_10x5a5_roothairs.csv,168.7026749
sd19_10x6a1_roothairs.csv,205.8613586
sd19_10x6a2_roothairs.csv,166.2830811
sd19_10x6a3_roothairs.csv,180.487117
sd19_10x6a4_roothairs.csv,119.9374084
sd1_10x10a1_roothairs.csv,114.1818426
sd1_10x10a2_roothairs.csv,85.44858379
sd1_10x10a3_roothairs.csv,96.68170929
sd1_10x10a4_roothairs.csv,153.8212647
sd1_10x10a5_roothairs.csv,92.97776031
sd1_10x11_roothairs.csv,54.91351128
sd1_10x21_roothairs.csv,72.64920884
sd1_10x22_roothairs.csv,76.39493561
sd1_10x3a1_roothairs.csv,68.69855342
sd1_10x3a2_roothairs.csv,45.39930725
sd1_10x3a3_roothairs.csv,90.62683205
sd1_10x3a4_roothairs.csv,85.61875498
sd1_10x4a1_roothairs.csv,69.33228302
sd1_10x4a2_roothairs.csv,81.59588623
sd1_10x51_roothairs.csv,72.25760643
sd1_10x52_roothairs.csv,64.48801718
sd1_10x61_roothairs.csv,97.01572418
sd1_10x62_roothairs.csv,65.09311614
sd1_10x7a1_roothairs.csv,118.913414
sd1_10x7a2_roothairs.csv,118.9588699
sd1_10x7a3_roothairs.csv,188.2168213
sd1_10x7a4_roothairs.csv,154.7862115
sd1_10x8a1_roothairs.csv,62.72675268
sd1_10x8a2_roothairs.csv,130.0444641
sd1_10x8a3_roothairs.csv,120.469017
sd1_10x8a4_roothairs.csv,127.8727646
sd1_10x8a5_roothairs.csv,142.3511505
sd1_10x8a6_roothairs.csv,105.5733917
sd1_10x8a7_roothairs.csv,138.5644836
sd1_10x9a1_roothairs.csv,138.2944489
sd1_10x9a2_roothairs.csv,123.9342346
sd1_10x9a3_roothairs.csv,114.6933594
sd1_10x9a4_roothairs.csv,189.4497223
sd20_10x11_roothairs.csv,109.8385162
sd20_10x12_roothairs.csv,88.67696381
